Country,Period,Total Exports Value ($US),Customs Import Value (Gen) ($US)
Afghanistan,Jan-15,"31,234,295","1,969,612"
Afghanistan,Feb-15,"37,258,645","5,899,848"
Afghanistan,Mar-15,"88,786,227","1,447,167"
Afghanistan,Apr-15,"39,725,459","2,804,596"
Afghanistan,May-15,"29,170,536","2,373,845"
Afghanistan,Jun-15,"37,764,776","1,335,968"
Afghanistan,Jul-15,"26,732,565","597,439"
Afghanistan,Aug-15,"29,491,959","972,349"
Afghanistan,Sep-15,"30,605,221","1,254,457"
Afghanistan,Oct-15,"89,580,708","3,133,392"
Afghanistan,Nov-15,"21,834,409","682,892"
Afghanistan,Dec-15,"16,526,724","1,129,686"
Afghanistan,Jan-16,"174,149,992","1,849,499"
Afghanistan,Feb-16,"22,687,231","1,501,741"
Afghanistan,Mar-16,"88,497,655","1,612,984"
Afghanistan,Apr-16,"48,137,822","5,462,302"
Afghanistan,May-16,"116,862,139","1,591,259"
Afghanistan,Jun-16,"54,868,991","2,231,922"
Afghanistan,Jul-16,"66,566,079","2,471,156"
Afghanistan,Aug-16,"47,919,279","2,515,593"
Afghanistan,Sep-16,"23,436,296","6,999,279"
Afghanistan,Oct-16,"78,170,604","2,350,618"
Afghanistan,Nov-16,"142,854,024","3,430,713"
Afghanistan,Dec-16,"49,724,239","1,698,860"
Afghanistan,Jan-17,"26,716,225","1,298,078"
Afghanistan,Feb-17,"77,060,907","2,346,457"
Afghanistan,Mar-17,"38,976,635","970,349"
Afghanistan,Apr-17,"142,041,049","1,413,717"
Afghanistan,May-17,"41,358,090","1,225,195"
Afghanistan,Jun-17,"59,069,779","1,311,197"
Afghanistan,Jul-17,"246,353,544","841,297"
Afghanistan,Aug-17,"67,189,171","494,031"
Afghanistan,Sep-17,"104,029,661","465,931"
Afghanistan,Oct-17,"23,295,134","858,686"
Afghanistan,Nov-17,"82,151,699","846,064"
Afghanistan,Dec-17,"33,990,137","2,352,620"
Afghanistan,Jan-18,"38,624,557","4,716,551"
Afghanistan,Feb-18,"84,951,583","1,239,579"
Afghanistan,Mar-18,"185,040,079","3,008,230"
Afghanistan,Apr-18,"77,188,985","3,695,227"
Afghanistan,May-18,"154,642,007","1,457,008"
Afghanistan,Jun-18,"127,036,912","3,581,818"
Afghanistan,Jul-18,"124,762,078","520,985"
Afghanistan,Aug-18,"78,053,173","2,386,567"
Afghanistan,Sep-18,"65,711,542","1,070,001"
Afghanistan,Oct-18,"139,512,517","3,288,561"
Afghanistan,Nov-18,"91,035,207","3,405,552"
Afghanistan,Dec-18,"60,845,792","1,038,649"
Afghanistan,Jan-19,"60,415,467","1,752,609"
Afghanistan,Feb-19,"53,989,267","3,067,102"
Afghanistan,Mar-19,"97,446,322","3,769,555"
Afghanistan,Apr-19,"92,780,660","4,940,447"
Afghanistan,May-19,"33,811,654","9,117,172"
Afghanistan,Jun-19,"64,503,154","2,835,776"
Afghanistan,Jul-19,"52,718,976","2,081,448"
Afghanistan,Aug-19,"36,058,417","5,991,855"
Afghanistan,Sep-19,"52,779,451","951,434"
Afghanistan,Oct-19,"61,334,603","1,915,013"
Afghanistan,Nov-19,"58,480,638","1,016,288"
Afghanistan,Dec-19,"93,548,958","1,305,375"
Afghanistan,Jan-20,"58,761,945","2,275,711"
Afghanistan,Feb-20,"83,495,690","1,520,881"
Afghanistan,Mar-20,"40,429,401","1,736,881"
Afghanistan,Apr-20,"60,787,299","1,105,020"
Afghanistan,May-20,"47,843,743","590,472"
Afghanistan,Jun-20,"79,863,098","1,425,891"
Afghanistan,Jul-20,"45,716,600","814,840"
Afghanistan,Aug-20,"99,324,802","914,976"
Afghanistan,Sep-20,"48,507,152","1,222,394"
Afghanistan,Oct-20,"46,489,958","2,100,920"
Afghanistan,Nov-20,"36,463,384","2,995,809"
Afghanistan,Dec-20,"25,668,682","1,653,433"
Afghanistan,Jan-21,"15,427,322","1,901,555"
Afghanistan,Feb-21,"117,532,972","1,390,679"
Afghanistan,Mar-21,"50,472,576","2,338,706"
Afghanistan,Apr-21,"16,877,694","2,855,084"
Afghanistan,May-21,"14,301,296","3,068,250"
Afghanistan,Jun-21,"5,107,842","1,683,785"
Afghanistan,Jul-21,"8,633,864","1,919,085"
Afghanistan,Aug-21,"2,907,490","1,432,950"
Afghanistan,Sep-21,"412,808","674,084"
Afghanistan,Oct-21,"531,054","1,775,359"
Afghanistan,Nov-21,"966,948","1,480,744"
Afghanistan,Dec-21,"2,689,085","1,374,020"
Afghanistan,Jan-22,"7,061,634","2,755,228"
Afghanistan,Feb-22,"1,050,759","1,305,945"
Afghanistan,Mar-22,"1,302,643","1,673,444"
Afghanistan,Apr-22,"1,058,876","2,144,377"
Afghanistan,May-22,"760,271","1,253,749"
Afghanistan,Jun-22,"1,965,885","1,727,893"
Afghanistan,Jul-22,"1,424,793","1,562,862"
Afghanistan,Aug-22,"2,082,436","1,338,202"
Afghanistan,Sep-22,"951,177","4,257,329"
Afghanistan,Oct-22,"2,218,572","661,279"
Afghanistan,Nov-22,"895,644","1,920,720"
Afghanistan,Dec-22,"1,031,342","1,771,165"
Afghanistan,Jan-23,"1,913,016","968,704"
Afghanistan,Feb-23,"2,049,948","2,051,814"
Afghanistan,Mar-23,"1,176,740","3,209,930"
Afghanistan,Apr-23,"2,383,546","1,378,415"
Afghanistan,May-23,"1,262,691","2,301,397"
Afghanistan,Jun-23,"2,226,485","1,212,981"
Afghanistan,Jul-23,"2,290,070","679,631"
Afghanistan,Aug-23,"1,327,475","2,301,989"
Afghanistan,Sep-23,"1,982,325","1,356,716"
Afghanistan,Oct-23,"415,346","1,099,836"
Afghanistan,Nov-23,"664,598","1,398,175"
Afghanistan,Dec-23,"31,922,649","1,942,189"
Albania,Jan-15,"2,093,928","24,542,750"
Albania,Feb-15,"2,210,894","2,860,092"
Albania,Mar-15,"3,835,992","2,555,908"
Albania,Apr-15,"4,084,614","14,358,584"
Albania,May-15,"3,096,707","12,453,402"
Albania,Jun-15,"3,221,386","17,515,847"
Albania,Jul-15,"2,078,808","20,781,212"
Albania,Aug-15,"2,241,252","26,709,464"
Albania,Sep-15,"1,903,339","2,656,446"
Albania,Oct-15,"2,009,254","16,441,795"
Albania,Nov-15,"1,809,729","17,517,679"
Albania,Dec-15,"2,311,762","1,688,040"
Albania,Jan-16,"1,736,416","1,613,255"
Albania,Feb-16,"3,429,357","2,419,991"
Albania,Mar-16,"3,198,063","1,478,094"
Albania,Apr-16,"3,444,828","2,095,490"
Albania,May-16,"9,525,669","11,382,911"
Albania,Jun-16,"5,589,270","22,386,733"
Albania,Jul-16,"3,848,630","22,231,965"
Albania,Aug-16,"5,391,733","27,105,354"
Albania,Sep-16,"3,110,767","15,247,986"
Albania,Oct-16,"3,603,363","13,743,513"
Albania,Nov-16,"4,210,043","2,819,030"
Albania,Dec-16,"3,205,276","2,089,349"
Albania,Jan-17,"3,024,330","2,487,946"
Albania,Feb-17,"3,946,890","2,110,351"
Albania,Mar-17,"4,200,007","2,340,633"
Albania,Apr-17,"6,995,374","1,798,567"
Albania,May-17,"5,693,300","5,684,186"
Albania,Jun-17,"4,765,195","2,390,146"
Albania,Jul-17,"4,009,022","3,210,231"
Albania,Aug-17,"4,939,889","4,630,737"
Albania,Sep-17,"3,465,072","6,065,681"
Albania,Oct-17,"5,514,416","2,918,967"
Albania,Nov-17,"4,595,255","3,108,689"
Albania,Dec-17,"10,938,208","4,848,963"
Albania,Jan-18,"3,085,093","5,798,655"
Albania,Feb-18,"7,320,681","6,396,030"
Albania,Mar-18,"6,452,673","5,976,126"
Albania,Apr-18,"4,693,997","4,021,210"
Albania,May-18,"5,001,788","4,315,544"
Albania,Jun-18,"6,554,051","5,257,460"
Albania,Jul-18,"4,881,596","6,568,674"
Albania,Aug-18,"3,987,349","5,583,912"
Albania,Sep-18,"3,471,304","4,096,563"
Albania,Oct-18,"3,489,021","5,530,933"
Albania,Nov-18,"6,372,135","5,705,474"
Albania,Dec-18,"3,890,435","5,876,483"
Albania,Jan-19,"4,235,102","6,440,454"
Albania,Feb-19,"4,694,503","3,260,140"
Albania,Mar-19,"4,742,575","6,154,912"
Albania,Apr-19,"6,451,009","3,685,108"
Albania,May-19,"9,116,453","7,034,642"
Albania,Jun-19,"7,832,568","5,313,812"
Albania,Jul-19,"5,104,141","3,053,249"
Albania,Aug-19,"22,138,132","5,566,449"
Albania,Sep-19,"3,480,422","4,097,318"
Albania,Oct-19,"5,605,086","4,628,601"
Albania,Nov-19,"7,912,681","3,581,026"
Albania,Dec-19,"4,945,910","3,559,910"
Albania,Jan-20,"5,898,661","3,951,502"
Albania,Feb-20,"4,032,430","2,929,824"
Albania,Mar-20,"6,540,320","4,360,129"
Albania,Apr-20,"3,555,566","3,265,727"
Albania,May-20,"4,069,120","3,929,167"
Albania,Jun-20,"5,170,431","3,942,424"
Albania,Jul-20,"3,908,877","3,974,596"
Albania,Aug-20,"3,768,102","2,926,449"
Albania,Sep-20,"6,114,889","5,041,302"
Albania,Oct-20,"4,972,962","3,577,745"
Albania,Nov-20,"4,351,515","4,075,161"
Albania,Dec-20,"4,698,150","4,806,225"
Albania,Jan-21,"6,496,800","4,015,951"
Albania,Feb-21,"10,330,849","3,872,881"
Albania,Mar-21,"8,126,016","6,831,700"
Albania,Apr-21,"7,408,864","5,664,926"
Albania,May-21,"11,131,743","6,356,641"
Albania,Jun-21,"15,971,440","4,832,868"
Albania,Jul-21,"10,237,069","9,387,864"
Albania,Aug-21,"7,062,583","4,880,438"
Albania,Sep-21,"4,279,437","4,036,984"
Albania,Oct-21,"5,136,688","5,624,835"
Albania,Nov-21,"6,104,041","5,119,443"
Albania,Dec-21,"5,572,787","6,320,432"
Albania,Jan-22,"3,937,997","5,425,520"
Albania,Feb-22,"7,844,817","9,061,340"
Albania,Mar-22,"15,600,516","7,123,859"
Albania,Apr-22,"8,324,995","26,481,587"
Albania,May-22,"10,097,623","7,722,780"
Albania,Jun-22,"10,457,203","6,049,698"
Albania,Jul-22,"16,601,905","8,663,123"
Albania,Aug-22,"5,417,389","7,520,699"
Albania,Sep-22,"3,812,108","8,935,710"
Albania,Oct-22,"6,934,444","41,987,569"
Albania,Nov-22,"7,763,269","7,552,528"
Albania,Dec-22,"10,489,352","8,296,599"
Albania,Jan-23,"12,455,196","9,660,383"
Albania,Feb-23,"7,348,158","7,202,732"
Albania,Mar-23,"10,231,946","7,792,729"
Albania,Apr-23,"14,575,757","5,533,999"
Albania,May-23,"12,465,066","4,849,979"
Albania,Jun-23,"10,836,616","6,602,259"
Albania,Jul-23,"8,188,082","6,891,201"
Albania,Aug-23,"11,432,536","7,319,492"
Albania,Sep-23,"9,734,770","5,096,311"
Albania,Oct-23,"16,513,267","6,798,432"
Albania,Nov-23,"9,290,130","4,212,988"
Albania,Dec-23,"10,395,887","5,426,248"
Algeria,Jan-15,"148,801,495","270,374,533"
Algeria,Feb-15,"102,888,388","257,699,472"
Algeria,Mar-15,"151,552,091","153,345,983"
Algeria,Apr-15,"103,750,966","292,526,270"
Algeria,May-15,"141,027,690","432,227,096"
Algeria,Jun-15,"169,302,090","327,855,090"
Algeria,Jul-15,"212,357,883","345,691,338"
Algeria,Aug-15,"101,042,278","314,235,723"
Algeria,Sep-15,"244,154,912","349,386,121"
Algeria,Oct-15,"148,642,519","259,913,157"
Algeria,Nov-15,"193,639,872","227,690,857"
Algeria,Dec-15,"158,572,585","140,602,129"
Algeria,Jan-16,"110,650,323","168,226,627"
Algeria,Feb-16,"285,714,807","159,118,666"
Algeria,Mar-16,"52,805,752","232,725,227"
Algeria,Apr-16,"138,178,998","222,696,807"
Algeria,May-16,"330,742,076","187,465,912"
Algeria,Jun-16,"155,143,991","279,049,760"
Algeria,Jul-16,"167,080,569","267,634,055"
Algeria,Aug-16,"191,408,029","256,045,371"
Algeria,Sep-16,"149,056,049","226,869,521"
Algeria,Oct-16,"252,515,606","409,373,889"
Algeria,Nov-16,"142,726,722","539,515,117"
Algeria,Dec-16,"215,238,703","279,199,220"
Algeria,Jan-17,"49,928,940","497,476,342"
Algeria,Feb-17,"91,809,233","348,126,033"
Algeria,Mar-17,"119,964,041","356,505,376"
Algeria,Apr-17,"130,791,418","243,415,425"
Algeria,May-17,"159,018,002","274,282,540"
Algeria,Jun-17,"91,823,174","374,339,401"
Algeria,Jul-17,"77,988,503","335,584,048"
Algeria,Aug-17,"53,161,357","391,615,316"
Algeria,Sep-17,"63,498,497","268,880,794"
Algeria,Oct-17,"72,530,761","226,555,060"
Algeria,Nov-17,"61,090,481","187,824,692"
Algeria,Dec-17,"90,747,686","305,916,841"
Algeria,Jan-18,"40,349,752","442,631,252"
Algeria,Feb-18,"72,725,756","351,340,957"
Algeria,Mar-18,"94,257,205","270,571,583"
Algeria,Apr-18,"80,096,676","445,432,761"
Algeria,May-18,"80,030,772","313,721,334"
Algeria,Jun-18,"161,436,302","254,767,927"
Algeria,Jul-18,"50,690,711","497,423,369"
Algeria,Aug-18,"34,686,336","439,605,896"
Algeria,Sep-18,"160,440,899","413,367,138"
Algeria,Oct-18,"181,671,345","479,557,348"
Algeria,Nov-18,"156,608,612","274,544,105"
Algeria,Dec-18,"148,040,047","435,386,335"
Algeria,Jan-19,"32,671,090","208,838,732"
Algeria,Feb-19,"51,162,771","107,859,568"
Algeria,Mar-19,"91,307,965","381,455,197"
Algeria,Apr-19,"52,724,410","345,600,860"
Algeria,May-19,"141,292,676","451,526,567"
Algeria,Jun-19,"122,467,553","279,399,385"
Algeria,Jul-19,"150,684,082","179,324,794"
Algeria,Aug-19,"100,195,440","142,459,200"
Algeria,Sep-19,"30,662,509","143,038,326"
Algeria,Oct-19,"47,022,715","106,796,568"
Algeria,Nov-19,"85,369,576","86,657,616"
Algeria,Dec-19,"94,907,172","46,572,644"
Algeria,Jan-20,"74,432,838","99,430,916"
Algeria,Feb-20,"37,241,955","71,980,243"
Algeria,Mar-20,"86,988,621","41,808,744"
Algeria,Apr-20,"65,314,476","55,160,493"
Algeria,May-20,"70,538,390","20,518,609"
Algeria,Jun-20,"51,792,004","13,316,558"
Algeria,Jul-20,"54,424,803","27,512,319"
Algeria,Aug-20,"82,074,639","14,946,068"
Algeria,Sep-20,"88,803,373","24,702,855"
Algeria,Oct-20,"33,847,468","8,541,443"
Algeria,Nov-20,"55,923,797","28,186,377"
Algeria,Dec-20,"33,477,898","82,055,688"
Algeria,Jan-21,"95,366,599","75,449,126"
Algeria,Feb-21,"84,790,626","107,058,928"
Algeria,Mar-21,"77,466,534","205,134,955"
Algeria,Apr-21,"47,957,543","201,694,133"
Algeria,May-21,"72,347,644","117,559,552"
Algeria,Jun-21,"76,677,964","120,947,140"
Algeria,Jul-21,"33,931,732","197,914,579"
Algeria,Aug-21,"39,412,045","101,338,663"
Algeria,Sep-21,"49,241,751","106,382,362"
Algeria,Oct-21,"41,645,848","230,025,691"
Algeria,Nov-21,"71,441,640","248,788,029"
Algeria,Dec-21,"94,085,386","175,729,387"
Algeria,Jan-22,"197,585,942","80,823,397"
Algeria,Feb-22,"62,678,422","135,495,796"
Algeria,Mar-22,"84,653,114","201,857,089"
Algeria,Apr-22,"169,253,498","241,713,626"
Algeria,May-22,"48,838,962","377,600,581"
Algeria,Jun-22,"54,822,418","313,922,271"
Algeria,Jul-22,"98,839,319","448,447,900"
Algeria,Aug-22,"89,326,183","244,807,461"
Algeria,Sep-22,"143,430,132","156,716,499"
Algeria,Oct-22,"81,658,026","194,973,816"
Algeria,Nov-22,"104,314,842","458,741,235"
Algeria,Dec-22,"62,911,496","153,726,510"
Algeria,Jan-23,"132,212,812","214,488,863"
Algeria,Feb-23,"105,234,453","220,781,113"
Algeria,Mar-23,"106,869,379","132,293,389"
Algeria,Apr-23,"63,819,390","360,427,568"
Algeria,May-23,"95,314,713","303,614,344"
Algeria,Jun-23,"87,838,523","238,421,899"
Algeria,Jul-23,"35,448,939","296,252,339"
Algeria,Aug-23,"39,972,029","307,499,258"
Algeria,Sep-23,"167,029,124","365,721,327"
Algeria,Oct-23,"88,423,358","248,119,152"
Algeria,Nov-23,"169,942,266","167,572,010"
Algeria,Dec-23,"109,662,710","173,894,578"
Andorra,Jan-15,"92,235","63,104"
Andorra,Feb-15,"347,733","94,746"
Andorra,Mar-15,"183,636","46,852"
Andorra,Apr-15,"245,464","62,117"
Andorra,May-15,"102,130","1,070,734"
Andorra,Jun-15,"165,087","234,911"
Andorra,Jul-15,"95,778","95,804"
Andorra,Aug-15,"100,264","138,586"
Andorra,Sep-15,"288,686","1,266,326"
Andorra,Oct-15,"419,419","443,419"
Andorra,Nov-15,"389,285","318,537"
Andorra,Dec-15,"907,100","1,012,821"
Andorra,Jan-16,"695,077","1,533,577"
Andorra,Feb-16,"110,546","202,557"
Andorra,Mar-16,"527,495","459,278"
Andorra,Apr-16,"228,854","86,018"
Andorra,May-16,"160,834","563,012"
Andorra,Jun-16,"187,663","223,404"
Andorra,Jul-16,"185,697","1,717,816"
Andorra,Aug-16,"164,252","34,340"
Andorra,Sep-16,"151,042","95,125"
Andorra,Oct-16,"87,982","11,592"
Andorra,Nov-16,"125,559","31,678"
Andorra,Dec-16,"205,267","1,651,672"
Andorra,Jan-17,"421,211","922,783"
Andorra,Feb-17,"633,296","948,830"
Andorra,Mar-17,"236,694","852,013"
Andorra,Apr-17,"167,562","826,350"
Andorra,May-17,"131,663","1,245,786"
Andorra,Jun-17,"190,980","847,767"
Andorra,Jul-17,"459,027","1,099,496"
Andorra,Aug-17,"155,631","87,025"
Andorra,Sep-17,"351,256","133,061"
Andorra,Oct-17,"206,732","1,966,283"
Andorra,Nov-17,"168,550","2,356,843"
Andorra,Dec-17,"162,565","2,407,133"
Andorra,Jan-18,"73,924","1,922,476"
Andorra,Feb-18,"299,989","1,029,162"
Andorra,Mar-18,"188,959","652,598"
Andorra,Apr-18,"330,177","1,239,501"
Andorra,May-18,"290,289","1,801,628"
Andorra,Jun-18,"456,011","1,256,210"
Andorra,Jul-18,"256,663","386,450"
Andorra,Aug-18,"175,516","1,054,920"
Andorra,Sep-18,"129,645","374,644"
Andorra,Oct-18,"206,892","85,511"
Andorra,Nov-18,"399,678","2,106,464"
Andorra,Dec-18,"258,019","4,105,453"
Andorra,Jan-19,"281,782","2,076,330"
Andorra,Feb-19,"273,624","2,260,176"
Andorra,Mar-19,"261,941","2,203,815"
Andorra,Apr-19,"91,338","3,265,985"
Andorra,May-19,"481,404","37,580"
Andorra,Jun-19,"352,395","574,223"
Andorra,Jul-19,"185,017","190,778"
Andorra,Aug-19,"183,377","175,492"
Andorra,Sep-19,"342,500","215,795"
Andorra,Oct-19,"455,169","551,140"
Andorra,Nov-19,"241,753","237,948"
Andorra,Dec-19,"200,086","343,264"
Andorra,Jan-20,"392,320","112,855"
Andorra,Feb-20,"936,877","1,998,220"
Andorra,Mar-20,"681,864","152,763"
Andorra,Apr-20,"29,242","18,312"
Andorra,May-20,"359,142","1,735,443"
Andorra,Jun-20,"138,002","45,980"
Andorra,Jul-20,"269,867","157,826"
Andorra,Aug-20,"241,026","255,231"
Andorra,Sep-20,"330,564","298,820"
Andorra,Oct-20,"75,544","204,096"
Andorra,Nov-20,"48,075","327,973"
Andorra,Dec-20,"181,558","143,344"
Andorra,Jan-21,"170,371","1,034,922"
Andorra,Feb-21,"262,826","907,942"
Andorra,Mar-21,"51,026","253,642"
Andorra,Apr-21,"525,811","120,492"
Andorra,May-21,"753,830","1,800,062"
Andorra,Jun-21,"270,769","201,378"
Andorra,Jul-21,"292,143","631,869"
Andorra,Aug-21,"1,251,744","418,378"
Andorra,Sep-21,"243,564","716,801"
Andorra,Oct-21,"190,151","254,043"
Andorra,Nov-21,"292,674","1,180,082"
Andorra,Dec-21,"385,314","560,936"
Andorra,Jan-22,"452,984","217,365"
Andorra,Feb-22,"473,493","191,549"
Andorra,Mar-22,"574,305","545,863"
Andorra,Apr-22,"150,376","510,789"
Andorra,May-22,"298,962","769,029"
Andorra,Jun-22,"252,779","3,134,956"
Andorra,Jul-22,"220,285","870,333"
Andorra,Aug-22,"345,467","759,301"
Andorra,Sep-22,"274,978","868,593"
Andorra,Oct-22,"76,212","796,672"
Andorra,Nov-22,"226,955","226,502"
Andorra,Dec-22,"164,659","853,602"
Andorra,Jan-23,"412,624","365,408"
Andorra,Feb-23,"469,777","341,609"
Andorra,Mar-23,"579,202","50,049,213"
Andorra,Apr-23,"922,706","551,485"
Andorra,May-23,"437,250","510,400"
Andorra,Jun-23,"249,756","314,406"
Andorra,Jul-23,"747,120","227,385"
Andorra,Aug-23,"629,178","70,889"
Andorra,Sep-23,"492,779","264,183"
Andorra,Oct-23,"518,106","204,802"
Andorra,Nov-23,"487,042","287,501"
Andorra,Dec-23,"91,902","319,893"
Angola,Jan-15,"80,047,838","161,340,408"
Angola,Feb-15,"115,111,795","225,371,497"
Angola,Mar-15,"99,466,251","220,282,608"
Angola,Apr-15,"140,204,056","165,731,103"
Angola,May-15,"123,133,611","194,300,059"
Angola,Jun-15,"104,178,139","213,917,401"
Angola,Jul-15,"104,233,966","260,622,150"
Angola,Aug-15,"96,502,659","165,860,042"
Angola,Sep-15,"104,121,140","385,199,845"
Angola,Oct-15,"76,733,903","252,897,815"
Angola,Nov-15,"84,859,262","339,519,263"
Angola,Dec-15,"37,502,187","221,452,692"
Angola,Jan-16,"191,637,330","212,864,684"
Angola,Feb-16,"65,957,183","181,299,545"
Angola,Mar-16,"84,976,002","192,375,113"
Angola,Apr-16,"226,418,833","232,977,022"
Angola,May-16,"40,956,921","278,021,610"
Angola,Jun-16,"55,435,792","176,995,748"
Angola,Jul-16,"47,750,051","400,178,606"
Angola,Aug-16,"46,756,814","278,510,406"
Angola,Sep-16,"240,394,326","260,676,837"
Angola,Oct-16,"96,679,299","168,614,106"
Angola,Nov-16,"94,326,697","292,069,360"
Angola,Dec-16,"58,468,936","180,989,406"
Angola,Jan-17,"27,779,424","185,872,975"
Angola,Feb-17,"28,849,677","102,523,184"
Angola,Mar-17,"48,732,098","66,690,396"
Angola,Apr-17,"95,086,758","120,809,031"
Angola,May-17,"123,256,809","200,232,699"
Angola,Jun-17,"65,666,823","270,254,233"
Angola,Jul-17,"89,931,432","341,415,931"
Angola,Aug-17,"87,556,163","327,490,691"
Angola,Sep-17,"94,483,803","324,165,102"
Angola,Oct-17,"84,915,975","265,342,334"
Angola,Nov-17,"24,594,583","110,997,483"
Angola,Dec-17,"38,639,942","287,862,866"
Angola,Jan-18,"35,200,475","142,668,936"
Angola,Feb-18,"23,328,818","65,551,897"
Angola,Mar-18,"50,127,258","65,569,903"
Angola,Apr-18,"49,616,612","445,104,948"
Angola,May-18,"49,629,582","161,951,971"
Angola,Jun-18,"46,160,774","452,704,654"
Angola,Jul-18,"41,719,237","579,774,591"
Angola,Aug-18,"48,018,848","321,219,319"
Angola,Sep-18,"65,012,664","187,670,297"
Angola,Oct-18,"39,932,608","172,017,730"
Angola,Nov-18,"39,852,063","96,091,868"
Angola,Dec-18,"36,391,618","8,056,351"
Angola,Jan-19,"31,092,836","17,621,762"
Angola,Feb-19,"39,796,581","3,021,946"
Angola,Mar-19,"46,078,518","81,420,383"
Angola,Apr-19,"32,024,302","98,304,014"
Angola,May-19,"42,595,109","97,428,285"
Angola,Jun-19,"47,657,193","199,178,152"
Angola,Jul-19,"47,539,433","28,587,245"
Angola,Aug-19,"64,905,950","75,090,074"
Angola,Sep-19,"47,720,598","133,930,912"
Angola,Oct-19,"42,626,214","152,676,798"
Angola,Nov-19,"44,885,220","40,374,760"
Angola,Dec-19,"47,776,220","26,906,868"
Angola,Jan-20,"35,235,693","18,374,317"
Angola,Feb-20,"35,721,799","64,732,421"
Angola,Mar-20,"34,832,026","554,881"
Angola,Apr-20,"43,616,134","26,647,423"
Angola,May-20,"43,882,211","61,891,311"
Angola,Jun-20,"27,146,643","66,432,688"
Angola,Jul-20,"21,176,160","10,259,578"
Angola,Aug-20,"34,220,175","38,337,254"
Angola,Sep-20,"67,438,851","19,579,024"
Angola,Oct-20,"67,355,134","96,964,937"
Angola,Nov-20,"34,545,644","63,122,561"
Angola,Dec-20,"24,780,666","4,839,685"
Angola,Jan-21,"29,054,815","54,103,191"
Angola,Feb-21,"28,226,422","58,495,703"
Angola,Mar-21,"37,823,400","88,722,466"
Angola,Apr-21,"23,893,791","102,799,115"
Angola,May-21,"25,803,238","157,108,499"
Angola,Jun-21,"36,053,195","31,425,067"
Angola,Jul-21,"31,458,704","96,368,913"
Angola,Aug-21,"44,610,201","136,226,711"
Angola,Sep-21,"37,814,213","104,304,382"
Angola,Oct-21,"53,289,972","68,668,456"
Angola,Nov-21,"46,781,847","138,141,916"
Angola,Dec-21,"50,122,410","7,441,552"
Angola,Jan-22,"40,247,367","135,484,497"
Angola,Feb-22,"43,291,608","231,628,038"
Angola,Mar-22,"27,355,907","117,493,111"
Angola,Apr-22,"53,834,219","55,846,402"
Angola,May-22,"52,557,228","93,150,879"
Angola,Jun-22,"73,388,666","196,979,323"
Angola,Jul-22,"51,162,496","118,873,415"
Angola,Aug-22,"49,275,877","165,113,800"
Angola,Sep-22,"59,427,891","154,459,675"
Angola,Oct-22,"78,924,935","214,191,365"
Angola,Nov-22,"67,772,192","69,373,351"
Angola,Dec-22,"54,161,374","45,443,753"
Angola,Jan-23,"56,191,365","6,239,391"
Angola,Feb-23,"47,571,499","62,378,097"
Angola,Mar-23,"55,888,682","35,318,232"
Angola,Apr-23,"64,678,146","145,765,496"
Angola,May-23,"43,761,776","89,199,049"
Angola,Jun-23,"35,477,659","122,075,315"
Angola,Jul-23,"65,840,440","143,283,767"
Angola,Aug-23,"49,991,767","142,333,527"
Angola,Sep-23,"49,093,618","151,311,888"
Angola,Oct-23,"41,229,381","123,298,943"
Angola,Nov-23,"42,397,644","50,947,648"
Angola,Dec-23,"46,445,550","88,703,987"
Anguilla,Jan-15,"2,528,671","687,501"
Anguilla,Feb-15,"3,472,680","305,239"
Anguilla,Mar-15,"3,449,918","292,148"
Anguilla,Apr-15,"3,484,228","484,720"
Anguilla,May-15,"3,742,587","446,186"
Anguilla,Jun-15,"3,494,243","542,736"
Anguilla,Jul-15,"3,740,970","400,761"
Anguilla,Aug-15,"4,259,663","873,498"
Anguilla,Sep-15,"3,743,994","716,845"
Anguilla,Oct-15,"6,168,638","334,878"
Anguilla,Nov-15,"5,156,508","280,705"
Anguilla,Dec-15,"4,360,533","218,666"
Anguilla,Jan-16,"3,095,230","354,999"
Anguilla,Feb-16,"3,064,195","320,232"
Anguilla,Mar-16,"3,411,706","503,393"
Anguilla,Apr-16,"2,486,223","339,748"
Anguilla,May-16,"2,013,411","292,341"
Anguilla,Jun-16,"2,961,297","93,487"
Anguilla,Jul-16,"3,263,184","249,173"
Anguilla,Aug-16,"2,428,170","610,956"
Anguilla,Sep-16,"5,482,611","367,412"
Anguilla,Oct-16,"4,148,516","208,036"
Anguilla,Nov-16,"6,015,111","522,976"
Anguilla,Dec-16,"4,526,979","187,073"
Anguilla,Jan-17,"2,989,873","408,678"
Anguilla,Feb-17,"2,915,764","445,009"
Anguilla,Mar-17,"3,588,847","309,241"
Anguilla,Apr-17,"5,906,069","531,600"
Anguilla,May-17,"4,166,980","260,509"
Anguilla,Jun-17,"2,678,285","249,095"
Anguilla,Jul-17,"2,524,610","384,273"
Anguilla,Aug-17,"3,359,008","444,998"
Anguilla,Sep-17,"5,239,632","535,544"
Anguilla,Oct-17,"8,515,778","192,440"
Anguilla,Nov-17,"9,006,294","400,142"
Anguilla,Dec-17,"8,507,159","400,556"
Anguilla,Jan-18,"6,931,783","1,624,980"
Anguilla,Feb-18,"8,792,332","214,334"
Anguilla,Mar-18,"10,754,189","206,162"
Anguilla,Apr-18,"9,589,568","314,757"
Anguilla,May-18,"8,071,750","162,321"
