Data Source,World Development Indicators,,,,,,,,,,,
Last Updated Date,7/1/2025,,,,,,,,,,,
,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,18295019000000,18804913000000,19612102000000,20656516000000,21539982000000,21354105000000,23681171000000,26006893000000,27720709000000
